Message_0_Page_0 我有一个相当简单的位置需要侦察，你会感兴趣并照顾它吗？
Message_1_Page_0 我有另一个位置需要你去侦察，但是它会有点棘手。你感兴趣吗？
Message_2_Page_0 如果你仍然有兴趣的话，我会有另一个位置给你去侦察！
Message_3_Page_0 这个位置看起来非常有希望，但是根据一个古老的报告，那里已被辐射。你感兴趣吗？
Message_4_Page_0 我想我们是时候去看看原俄罗斯的FoB了。警告:<pause>那里有很大的放射性，同时也很危险。你感兴趣吗？
Message_5_Page_0 有什么要报告的吗？

Response_0 我会看一看
Response_1 不是现在
Response_2 我侦察过了机场!
Response_3 我会看一看
Response_4 不是现在
Response_5 我侦察过了坦克工厂！
Response_6 我会看一看
Response_7 不是现在
Response_8 我侦察过了军事基地！
Response_9 我会看一看
Response_10 不是现在
Response_11 我侦察过了导弹发射井！
Response_12 我会看一看
Response_13 不是现在
Response_14 我侦察过了石油钻井平台！
Response_15 你在做什么？
Response_16 没有
