Name 纸条 - 关于菜谱

Interactability_Text_Line_0 姜饼人菜谱
Interactability_Text_Line_1 ---
Interactability_Text_Line_2 材料：
Interactability_Text_Line_3 1x 面粉
Interactability_Text_Line_4 1x 巧克力棒
Interactability_Text_Line_5 1x 鸡蛋
Interactability_Text_Line_6 ---
Interactability_Text_Line_7 步骤：
Interactability_Text_Line_8 1. 将材料放到碗内
Interactability_Text_Line_9 2. 搅拌均匀
Interactability_Text_Line_10 3. 将面团放入托盘内并塑形成小人
Interactability_Text_Line_11 4. 放入烤炉并以180度烤制
Interactability_Text_Line_12 5. 烤至金黄时拿出托盘
Interactability_Text_Line_13 6. 好好享受吧！
