AzimuthSliderLabelText 太阳升落的方向
BiasSliderLabelText 日夜比例
FadeSliderLabelText 日夜过渡强度
Sea_Level_Slider_Label 海平面高度
Snow_Level_Slider_Label 下雪高度
Rain_Freq_Label 降雨频率倍数
Rain_Dur_Label 降雨持续时间倍数
Snow_Freq_Label 下雪频率倍数
Snow_Dur_Label 下雪持续时间倍数
Storm 暴风雨
Storm_Tooltip 是否启用暴风雨
Rain_Toggle_Label 能下雨
Blizzard 暴风雪
Blizzard_Tooltip 是否启用暴风雪
Snow_Toggle_Label 能下雪
MoonSliderLabelText 月相
TimeSliderLabelText 时间

Time_0 黎明
Time_1 中午
Time_2 黄昏
Time_3 午夜

Color_0 太阳颜色
Color_1 海的颜色
Color_2 雾的颜色
Color_3 天空顶部的颜色
Color_4 天空中部的颜色
Color_5 天空底部的颜色
Color_6 顶部环境光的颜色
Color_7 中部环境光的颜色
Color_8 底部环境光的颜色
Color_9 云的颜色
Color_10 光线的颜色
Color_11 粒子光照的颜色

Single_0 整体效果强度
Single_1 雾的强度
Single_2 云的强度
Single_3 阴影的强度
Single_4 光线的强度
