TableNameFieldLabelText 物品刷新表名称
AddTableButtonText 添加
AddTableButtonTooltip 创建物品刷新表
RemoveTableButtonText 删除
RemoveTableButtonTooltip 移除物品刷新表

SelectionBoxLabelText 已选择

TableIDFieldLabelText 刷新表ID

TierNameFieldLabelText 刷新表级别
AddTierButtonText 添加
AddTierButtonTooltip 创建级别
RemoveTierButtonText 删除
RemoveTierButtonTooltip 移除级别

ItemIDFieldLabelText 物品ID
AddItemButtonText 添加
AddItemButtonTooltip 添加物品
RemoveItemButtonText 删除
RemoveItemButtonTooltip 移除物品

RadiusSliderLabelText 半径

AddButtonText 添加 [{0}]
AddButtonTooltip 创建刷新点

RemoveButtonText 删除 [{0}]
RemoveButtonTooltip 移除刷新点
