TableNameFieldLabelText 载具刷新表名称
AddTableButtonText 添加
AddTableButtonTooltip 创建载具刷新表
RemoveTableButtonText 删除
RemoveTableButtonTooltip 移除载具刷新表

SelectionBoxLabelText 当前已选择

TableIDFieldLabelText 刷新表ID

TierNameFieldLabelText 刷新表级别
AddTierButtonText 添加
AddTierButtonTooltip 创建级别
RemoveTierButtonText 删除
RemoveTierButtonTooltip 移除级别

VehicleIDFieldLabelText 载具ID
AddVehicleButtonText 添加
AddVehicleButtonTooltip 添加载具
RemoveVehicleButtonText 删除
RemoveVehicleButtonTooltip 移除载具

RadiusSliderLabelText 半径
RotationSliderLabelText 生成时的角度

AddButtonText 添加 [{0}]
AddButtonTooltip 创建载具刷新点

RemoveButtonText 删除 [{0}]
RemoveButtonTooltip 移除载具刷新点
