Mode_Paint 绘制模式 [{0}]
Mode_Auto 自动模式 [{0}]
Mode_Smooth 平滑模式 [{0}]
Mode_Cut 切割模式 [{0}]
Mode_Label 模式

BrushRadius 刷子半径 [{0}]
BrushFalloff 刷子硬度 [{0}]
BrushStrength 刷子强度 [{0}]

SmoothMethod_BrushAverage 取刷子平均值
SmoothMethod_PixelAverage 取像素平均值
SmoothMethod_Label 平滑方式

AutoRayLength 射线长度
AutoRayRadius 射线半径
UseAutoFoundation 使用自动搭建

MaxAngleRange 最大倾斜角
MinAngleRange 最小倾斜角
UseAutoSlope 使用自动倾斜

WeightTarget 目标权重值 [{0}]

PreviewMethod_BrushAlpha 刷子Alpha层
PreviewMethod_Weight 权重层
PreviewMethod_Label 预览方式

MaxPreviewSamples 最大预览取样数量
HighlightHoles_Label 高亮坑洞

SelectedAsset 已选择的资源 [{0}]
OnlyUsedMaterials 只显示正在使用的资源
SearchHint 按名称搜索...

Hint_Paint 清空已选: [{0}] 使用目标权重值: [{1}] 对鼠标指针下的材质取样: [{2}]
Hint_Cut 修复: [{0}]
