Bloom_Toggle_Label 光晕
Bloom_Tooltip 在强光下出现的模糊光环。
Chromatic_Aberration_Toggle_Label 色差
Chromatic_Aberration_Tooltip 模拟真实镜头的瑕疵，可能对截图有帮助。
Film_Grain_Toggle_Label 模拟噪点
Film_Grain_Tooltip 添加适量的模拟噪声以减少条带效应。
Clouds_Toggle_Label 云
Terrain_Toggle_Label 地形幕景
Blend_Toggle_Label 地形过渡
Blend_Tooltip 以每个材质的高度图而不是简单的线性合并对地形材质进行混合
Fog_Toggle_Label 雾的高度
Nice_Foliage_Toggle_Label 随风摇摆的叶子
Grass_Displacement_Toggle_Label 蹲下压草（提高真实性）
Grass_Displacement_Tooltip 在玩家的脚周围对贴图进行简单的移位
Foliage_Focus_Toggle_Label 瞄准模糊树叶
Foliage_Focus_Tooltip 在瞄准时模糊焦点附近的树叶
Ragdolls_Toggle_Label 布娃娃系统
Ragdolls_Tooltip 为布娃娃实体模拟物理效果
Debris_Toggle_Label 碎片效果
Debris_Tooltip 为被破坏的物体模拟碎片效果
Blast_Toggle_Label 爆炸痕迹
Blast_Toggle_Tooltip 在爆炸的地方生成3D爆炸贴图. 屏幕上的像素重叠数量可能会影响帧数
Puddle_Toggle_Label 雨水坑
Puddle_Tooltip 为雨滴生成水坑和涟漪效果。
Glitter_Toggle_Label 发光的雪
Glitter_Tooltip 雪面的反射效果。
Triplanar_Toggle_Label 三向贴图
Triplanar_Tooltip 通过对每个像素采样三个材质而不是一个的方式让巨石贴图与地形平滑对齐
Skybox_Reflection_Label 天空盒反射
Skybox_Reflection_Tooltip 为环境光照和反射的立方体贴图渲染动态的天空盒.

Distance_Slider_Label 附近物体的绘制距离 [{0}%]
Landmark_Slider_Label 指示物体的绘制距离 [{0}%]

Anti_Aliasing_Button_Label 抗锯齿
Anti_Aliasing_Button_Tooltip 减少图形边缘锯齿状的像素
Anisotropic_Filtering_Button_Label 各向异性过滤（低配慎用）
Anisotropic_Filtering_Button_Tooltip 在斜角处减少模糊的纹理
Effect_Button_Label 效果持续时间
Effect_Button_Tooltip 调整效果持续时间
Foliage_Button_Label 草被密度
Foliage_Button_Tooltip 调整可见草丛的数量
Sun_Shafts_Button_Label 阳光光线质量
Sun_Shafts_Button_Tooltip 光线的分辨率
Lighting_Button_Label 光照质量
Lighting_Button_Tooltip 阴影分辨率和光线数量
Ambient_Occlusion_Button_Label 环境光遮蔽质量
Ambient_Occlusion_Button_Tooltip 狭缝阴影的分辨率
Reflection_Button_Label 屏幕空间反射质量
Reflection_Button_Tooltip 雨水坑的反射细节
Planar_Reflection_Button_Label 平面反射质量
Planar_Reflection_Button_Tooltip 水的反射细节
Water_Button_Label 水面效果
Water_Button_Tooltip 调整水的透明度，泡沫，波浪和反射效果
Scope_Button_Label 瞄准镜质量
Scope_Button_Tooltip 调整双渲染范围（远处和近处）的分辨率
Outline_Button_Label 轮廓质量
Outline_Button_Tooltip 调整突出材质的分辨率和模糊效果
Bone_Button_Label 动画质量
Bone_Button_Tooltip 调整每个顶点影响的模型骨骼
Terrain_Button_Label 地形质量
Terrain_Button_Tooltip 调整地形的几何分辨率
Wind_Button_Label 风的质量
Wind_Button_Tooltip 风动画的细节
Tree_Mode_Button_Label 树木质量 [需要重启游戏]
Tree_Mode_Button_Tooltip 选择要使用的树木模型，应用需要重启游戏
Render_Mode_Button_Label 渲染模式
Render_Mode_Button_Tooltip Forward渲染模式在老式显卡上可能运行得更好（更稳定）, Deferred渲染模式支持贴花和空间反射。
Landmark_Button_Label 指示物体
Landmark_Button_Tooltip 扩展视野距离的极低细节模型

Effect_Off {0}: 只显示血
Effect_Tier {0}: {1} 秒

Planar_Reflection_Low {0}: 只有地形
Planar_Reflection_Medium {0}: 天空、树木、建筑物、大型物体
Planar_Reflection_High {0}: 载具、障碍物、中型物体
Planar_Reflection_Ultra {0}: 玩家、AI、效果

Bone_Influences_Medium {0}: 1
Bone_Influences_High {0}: 2
Bone_Influences_Ultra {0}: 4

Wind_Low {0}: 基本的风
Wind_Medium {0}+: SpeedTrees模型的分层风

Landmark_Low {0}: 只有大型物体
Landmark_Medium {0}: 树木
Landmark_High {0}: 可选物体
Landmark_Ultra {0}: 道路

FXAA FXAA
TAA TAA
MSAA2 2xMSAA
MSAA4 4xMSAA
MSAA8 8xMSAA
AA_Hint Deferred渲染模式与MSAA不兼容！

AF_Disabled 已禁用
AF_Per_Texture 每个材质
AF_Forced_On 强制开启

TM_Legacy 基本模型
TM_SpeedTree_Fade_None SpeedTrees模型
TM_SpeedTree_Fade_SpeedTree 极高SpeedTrees模型

Forward Forward [旧版]
Deferred Deferred [推荐]

Off 关
Low 低
Medium 中
High 高
Ultra 极高

Perf_Foliage_Instancing_Not_Supported 你的显卡不支持树叶实例化，这将对性能有极大的影响。
Perf_Water_Reflections 极高设置开启了平面反射。这将需要正反共渲染两次场景，性能将折半。
Perf_Dual_Render_Scope 双渲染距离将会在放大时重新渲染场景, 性能将折半。
Perf_SpeedTrees SpeedTrees模型将会极大地影响性能。对于大多数硬件来说推荐使用基本模型。
