FOV_Slider_LabelV2_Name 视场(FOV)
FOV_Slider_LabelV2_Value 水平方向 [{0}°] 垂直方向 [{1}°]
Volume_Slider_Label 音量 [{0}%]
Voice_Slider_Label 语音输入的音量 [{0}%]
Loading_Screen_Music_Volume_Slider_Label 加载界面音乐音量 [{0}%]
Debug_Toggle_Label 显示FPS和Ping信息
Music_Toggle_Label 播放主菜单/死亡的音乐
Splashscreen_Toggle_Label 游戏启动动画
Timer_Toggle_Label 竞技场开始提示音
Physics_Toggle_Label 显示物理效果
Gore_Toggle_Label 显示血液效果

Filter_Toggle_Label 过滤别人的文字聊天（合并相同文字）
Filter_Toggle_Tooltip 注意：仇恨言论无论如何都会被屏蔽，和此设置无关。

Chat_Text_Toggle_Label 允许别人的文字聊天
Chat_Voice_In_Toggle_Label 允许别人的语音聊天
Chat_Voice_Out_Toggle_Label 允许自己的语音输入
Hints_Toggle_Label 打开提示（例子:增加经验值的提示）
Ambience_Toggle_Label 播放白天/黑夜的环境音乐
Streamer_Toggle_Label Streamer（主播）模式
Featured_Workshop_Toggle_Label 推荐创新创意工坊物品
Show_Hotbar_Toggle_Label 显示快捷栏
Pause_When_Unfocused_Label 当使用Alt+Tab切换窗口时自动暂停
ScreenshotSizeMultiplier_Label 截图分辨率倍率
ScreenshotSizeMultiplier_Tooltip 倍率越高，渲染时间更长。
ScreenshotSupersampling_Label 启用截图超采样
ScreenshotSupersampling_Tooltip 渲染截图时使用2倍超采样来避免锯齿。
ScreenshotsWhileLoading_Label 在加载界面显示截图
ScreenshotsWhileLoading_Tooltip 这会在游戏初始化页面使用你自己的截图。
Matchmaking_Show_All_Maps_Toggle_Label 在快速匹配中显示所有地图
Min_Matchmaking_Players_Field_Label 快速匹配下匹配服务器的最小玩家数
Max_Matchmaking_Ping_Field_Label 快速匹配下匹配服务器的最大Ping值

UseStaticCrosshair_Label 启用自定义准星大小
UseStaticCrosshair_Tooltip 使用自定义的准星大小，而不是自动从视野计算得到的大小。
StaticCrosshairSize_Label 自定义准星大小
CrosshairShape_Line 线式
CrosshairShape_Classic 传统
CrosshairShape_Label 准星样式

Metric_On 公制
Metric_Off 英制
Metric_Tooltip 点击按钮来改变测量单位

Talk_On 开启
Talk_Off 关闭
Talk_Tooltip NPC聊天文本动画

UI_Free 白色界面
UI_Pro 黑色界面
UI_Tooltip 切换界面颜色

Hitmarker_Static 静态命中标记
Hitmarker_Dynamic 动态命中标记
Hitmarker_Tooltip 选择停留的命中标记模式
HitmarkerStyle_Animated 动态
HitmarkerStyle_Classic 经典
HitmarkerStyle_Label 选择命中反馈样式

Crosshair_Box 准心颜色
Hitmarker_Box 命中时的颜色
Critical_Hitmarker_Box 爆击时的颜色
Cursor_Box 光标颜色
Background_Box 界面背景颜色
Foreground_Box 界面前景颜色
Font_Box 字体颜色
Shadow_Box 字体阴影颜色
Bad_Color_Box 反色颜色
