VAC_Secure VAC安全
VAC_Insecure VAC不安全
BattlEye_Secure 需要BattlEye
BattlEye_Insecure BattlEye已禁用
Streamer Streamer（主播）模式
Offline 离线

Loading_Level_Play 正在 {2} [{3}] 上加载版本号为 v{1} 的地图 {0}...
Loading_Level_Edit 正在加载地图 {0}...

Loading 正在加载...
Loading_Blueprints 组建蓝图...
Loading_Spawns 组建生成表...
Loading_Misc 加载其他文件...
Loading_MainMenu 加载主界面...
Loading_Asset_Bundles 加载资源文件包...({0}/{1})
Loading_Search 寻找资源文件中...(已处理 {0}/{1} 个目录，共找到 {2} 个文件)
Loading_Read 加载资源文件到内存中...({0}/{1})
Loading_Asset_Definitions 加载资源文件...({0}/{1})
Download_Progress 正在下载 {0}...
Level_Load 正在加载地图： {0}%
Queue_Position 排队中……你当前的位置是 #{0}
Queue_Cancel 取消
Queue_Cancel_Tooltip 离开队列

Creators 创作者：
Collaborators 协作者：
Thanks 特别鸣谢：
