Tip 小技巧： {0}
Hotkey 你可以用以下方法在你的背包中创建热键物品：右键任一物品然后按数字键[3-9]。
Equip 你可以通过按住[{0}]再右键单击物品来将它装备在手里。
Drop 你可以通过按住[{0}]再左键单击物品来将它丢弃。
Sirens 你可以在驾驶警车时通过按[{0}]来开关警笛。
Transform 你可以在地图编辑器中按Ctrl+B或Ctrl+N来复制或粘贴建筑。
Quality 你的俄制武器附件比军用武器附件更耐用。
Umbrella 你可以用雨伞来降低你的下落速度，这可以免疫摔落伤害。
Heal 你可以拿着医疗物品右键点击玩家来治疗玩家。
Rotate 你可以在你建造时按住右键并拖动鼠标来旋转要建造的物体。
Base 你的制作材料从最好到最差的是：<color=epic>金属</color> -> <color=rare>松木</color> -> <color=rare>枫木</color> -> <color=common>桦木</color>
Dequip 你可以通过按下[{0}]来切换成空手。
Nightvision 你可以通过按下[{0}]来开关夜视仪和头灯。
Transfer 你可以通过按住[{0}]再右键单击物品来把该物品存储或取出。
Surface 在游泳时你可以通过按住[{0}]来保持在水面上。
Arrest 你可以通过快速按[{0}]和[{1}]来扭动铐在你手上的手铐并逃脱。
Safezone 你可以通过放置一个<color=legendary>屏蔽器</color>来防止僵尸生成，但这同时也会阻止物品的刷新。
Claim 你可以通过放置<color=legendary>领地旗帜</color>来防止非同组玩家在领地区域内进行建造。
Group 如果你和你的朋友在一个相同的组会以下效果：1.没有友军伤害和建筑保护。2.能在地图上看到对方。3.能在竞技场模式中组队获胜。
Map 你可以通过按下[{0}]来查看该地区的地图，但是这需要一个<color=uncommon>手绘地图</color>或<color=epic>GPS</color>。
Beacon 你可以通过放置一个尸潮信标(尸潮生成器)来召唤一大波的僵尸。
Horn 你可以在驾驶车辆时按下[{0}]来使用汽车喇叭。
Lights 你可以在驾驶载具时通过按下[{0}]来开关载具上的灯。
Snap 你可以通过按住[{0}]来调整一个物体的放置位置。
Upgrade 你可以在按住[{0}]时点击项目来把它一次性全部制作或升到满级。
Grab 在和附近物品互动时，你可以通过按住[{0}]再左键单击物品来丢出或捡起附近的物品。
Skycrane 你可以在驾驶<color=epic>空中起重机(云中鹤直升机)</color>时按[{0}]来开关电磁铁
Seat 你可以在载具时通过按[F1-F12]来切换你的座位。
Rarity 物品的品质从最好到最平凡的是：<color=legendary>传奇</color> -> <color=epic>史诗</color> -> <color=rare>罕见</color> -> <color=uncommon>少见</color> -> <color=common>普通</color>
Orientation 你可以在背包中通过右击物品再按[{0}]来旋转该物品。
Red 你爆头的标记颜色设置也会影响瞄准器的发光颜色。
Steady 在瞄准时你可以通过按住[{0}]来开始屏息。记得估计子弹的下落距离和它的行程时间！
Streamer 您可以通过修改StreamerNames.json文件来自定义Streamer(主播)模式中使用的名称。也许那里应该有观众/订阅者的名字！
