Page {0} / {1}

Search_Field_Hint 按名称筛选...
Search 查找
Search_Tooltip 查找
Filter_Item_Target 已选择目标: {0}
Cancel_Filter 取消
Cancel_Filter_Tooltip 停止物品操作。
Left_Tooltip 上一页
Right_Tooltip 下一页
Swap_Tooltip 切换服装
Refresh_Tooltip 刷新

Origin_Drop 你找到了一个物品！

Mystery_-1_Text 超级稀有的神秘物品
Mystery_-2_Text 极为稀有的幽灵物品
Mystery_-3_Text 极为稀有的节日物品
Mystery_-4_Text 超级稀有的糖果物品
Mystery_-5_Text 超级稀有的吸血鬼物品
Mystery_Tooltip ？？？

Itemstore 库存
Itemstore_Tooltip 点击这里查看库存。
Crafting 合成
Crafting_Tooltip 点击这里以查看可用的蓝图。
Backpack 背包
Backpack_Tooltip 点击这里以返回你的背包。
Featured_Tooltip 点击这里以查看该物品。

Craft_Available 可用的 <color=gold>合成材料</color>: {0}
Alert_Crafting 合成中...
Craft_Entry 合成 {0} - 需要<color=gold>合成材料</color> x{1}
Craft_Common_Cosmetic <color=common>低阶饰品（随机）</color>
Craft_Common_Skin <color=common>低阶皮肤（随机）</color>
Craft_Uncommon_Cosmetic <color=common>高阶饰品（随机）</color>
Craft_Uncommon_Skin <color=common>高阶皮肤（随机）</color>
Craft_Stat_Tracker_Total_Kills <color=#ff7f00>总击杀数计数器</color>
Craft_Stat_Tracker_Player_Kills <color=#ff0000>玩家击杀数计数器</color>
Craft_Ragdoll_Effect_Zero_Kelvin <color=#00ffff>冰点武器包</color>
Craft_Mythical_Skin <color=mythical>随机神话皮肤</color>

Origin_Craft 你合成了一个物品！

No_Items 请等待Steam库存响应...

Overlay 请启用 Steam 内嵌介面[用Steam启动游戏]
