Key_Text 购买钥匙
Key_Tooltip 点击这里查看商店的页面。

Unbox_Text 打开
Unbox_Tooltip 使用钥匙打开箱子。

Unwrap_Text 从箱子中取出
Unwrap_Tooltip 从包裹中取出

Origin_Unbox 你从箱子中取出了一个道具！
Origin_Unwrap 你从包裹中取出了一个道具！

Overlay 请启用 Steam 内嵌介面[用Steam启动游戏]
Exchange_Timed_Out Steam物品服务器没有响应。当你刷新后你的物品将会在库存显示。
Exchange_Missing_Assets 未知资源。在游戏更新完成后此物品将会出现在你的库存中。我们为这种罕见情况带来的不便表示歉意！
Exchange_Not_In_Drops 箱子内的物品列表未与实际内容同步。我们为这种罕见情况带来的不便表示歉意！

Rarity_Rare 罕见物品概率: {0}%
Rarity_Epic 史诗物品概率: {0}% 
Rarity_Legendary 传奇物品概率: {0}%
Rarity_Mythical 神话物品概率: {0}%
Rarity_Equalized 物品概率: 正常
Rarity_Bonus_Items 加成物品概率: +{0}%
