Message_0_Page_0 我能为你做什么？

Response_0 升级<color=uncommon>单发霰弹枪</color>
Response_1 升级<color=uncommon>单发霰弹枪</color>
Response_2 升级<color=uncommon>王牌左轮</color>
Response_3 升级<color=uncommon>王牌左轮</color>
Response_4 升级<color=uncommon>滑膛枪</color>
Response_5 升级<color=uncommon>滑膛枪</color>
Response_6 <color=rare>重弩</color>
Response_7 <color=rare>重弩</color>
Response_8 <color=uncommon>1911</color>
Response_9 <color=uncommon>1911</color>
Response_10 <color=uncommon>竞技步枪</color>
Response_11 <color=uncommon>竞技步枪</color>
Response_12 <color=rare>复仇者</color>
Response_13 <color=rare>复仇者</color>
Response_14 <color=rare>科西嘉</color>
Response_15 <color=rare>科西嘉</color>
Response_16 <color=rare>眼镜蛇手枪</color>
Response_17 <color=rare>眼镜蛇手枪</color>
Response_18 <color=uncommon>猎鹰犬</color>
Response_19 <color=uncommon>猎鹰犬</color>
Response_20 <color=epic>Fusilette</color>
Response_21 <color=epic>Fusilette</color>
Response_22 <color=epic>Genaugewehr</color>
Response_23 <color=epic>Genaugewehr</color>
Response_24 <color=epic>枫之突击</color>
Response_25 <color=epic>枫之突击</color>
Response_26 <color=rare>鹰火</color>
Response_27 <color=rare>鹰火</color>
Response_28 <color=epic>Herstal</color>
Response_29 <color=epic>Herstal</color>
Response_30 别在意我说的话。
