Message_0_Page_0 一个新面孔！欢迎！请先填好这份文件。
Message_1_Page_0 嘿！这不是你该来的地方！
Message_2_Page_0 <color=epic>上校Nicole</color>的任务需要你的援助。
Message_3_Page_0 看起来你已经给<color=epic>上校Nicole</color>留下了深刻的印象, 因为她晋升了你！干的不错，<color=uncommon>步兵<name_char></color>。这是你的新制服。
Message_4_Page_0 很好很好，你正是那个我梦寐以求的人！这是你的晋升消息和适合你的新制服，<color=rare>队长<name_char></color>。
Message_5_Page_0 哈，我不久之前还以为你只能是个学员呢！那么，现在我认可你了：更加适合你的<color=epic>营长</color>级别。你要当吗？
Message_6_Page_0 看起来你得到了议会的青睐和尊重。他们给了你一个新级别，<color=epic>上校<name_char></color>。这是你的制服！
Message_7_Page_0 <i> * 敬礼 * </i> 理事会已经钦定你了。你现在已经成为<color=legendary>旅长<name_char></color>了。走到这里的人并没有多少，你干得很好。
Message_8_Page_0 有什么能帮你的？


Response_0 <i> * 填写这份文件 * </i>
Response_1 <i> * 错误地填写这份文件 * </i>
Response_2 糟糕，我丢了我的笔。
Response_3 这里的等级制度如何？
Response_4 这是什么？
Response_5 任务完成了。
Response_6 这是我的荣耀
Response_7 谢谢你，这是我的荣耀。
Response_8 这是我的荣耀。
Response_9 我很荣幸接受它。
Response_10 我会尽我最大努力的。
Response_11 有特殊任务吗？
Response_12 我想看看军械库里的一些物品。
Response_13 再见！
