Message_0_Page_0 你到底是怎么进来的！
Message_1_Page_0 你好，<name_char>，我正在与<color=legendary>上士Damien</color>在这里谈论有关狩猎小队的事情，我的小队在Farsala看见了一些可怕的变异僵尸，我们正在寻找能打败他们的人，你感兴趣吗？
Message_2_Page_0 要去狩猎变异僵尸吗？
Message_3_Page_0 这真令我印象深刻！也许你愿意和另外一个变异僵尸较量较量。它似乎有点...<pause>暴躁。
Message_4_Page_0 要去狩猎变异僵尸吗？
Message_5_Page_0 在你为你的胜利而欣喜之前，我想告诉你，那个最危险的僵尸，第三个变异僵尸还活着，它可以使用宙斯之力，而且它也在Farsala的下水道里。你能处理掉它吗？
Message_6_Page_0 要去狩猎变异僵尸吗？
Message_7_Page_0 你在几乎没有留下任何伤痕的情况下打败了三个在希腊横行霸道的可怕僵尸。你真是一个严格的战士。我很高兴你能站在我们这边。

Response_0 告诉我更多信息吧。
Response_1 那不是泰坦。
Response_2 第二个在哪里？
Response_3 我几乎没出过汗。
Response_4 终于又有挑战了！
Response_5 我把野兽的头给你带来了。
Response_6 如果你遇到新的挑战者，请告诉我。
Response_7 改天吧。
Response_8 我该回去了。
Response_9 ...呃...
