Message_0_Page_0 嗯...当然，我会想到能用到你的地方的。但你必须先完成几个任务来获得通行权。
Message_1_Page_0 一个消防员！我能想到这个职业的不少用处，但你必须先完成几个任务来获得通行权。
Message_2_Page_0 哈，法律的维护者！欢迎你的加入,但你必须先完成几个任务来获得通行权。
Message_3_Page_0 一个老兵！很高兴看到你做到了，不论如何，你必须先完成几个任务来获得通行权。
Message_4_Page_0 哦！这很棒！农业团队一直不堪重负。但你必须先完成几个任务来获得通行权。
Message_5_Page_0 我相信农业团队会好好利用你的职业的。但你必须先完成几个任务来获得通行权。
Message_6_Page_0 工程师团队肯定会利用你这把手。但你必须先完成几个任务来获得通行权。
Message_7_Page_0 欢迎！工程师团队肯定会从你的帮助中受益！但你必须先完成几个任务来获得通行权。
Message_8_Page_0 厨房人手一直不足,我们肯定会好好利用你的职业！不论如何，你必须先完成几个任务来获得通行权。
Message_9_Page_0 这就是一切，<i>*眯着眼*</i> <pause> 杂技演员？很好，但你必须先完成几个任务来获得通行权。
Message_10_Page_0 一个医生！你一定会在药房大展身手的！但你必须先完成几个任务来获得通行权。

Response_0 我必须做什么？
Response_1 再见。
