//Neutral Response Set 0
Message_0_Page_0 我警告你陌生人, 把手放在我能看见的地方！
Message_1_Page_0 停下来！<pause> 你是干什么的！
Message_2_Page_0 谁在那里？
//Neutral Response Set 1
Message_3_Page_0 你要干嘛？
Message_4_Page_0 有什么话要说？
Message_5_Page_0 这不是聊天的地方。
//Neutral Response Set 2
Message_6_Page_0 走开。
Message_7_Page_0 有什么 <pause> 重要的话要说吗？
Message_8_Page_0 你在浪费我的时间。
//Neutral Response Set 3
Message_9_Page_0 ...
Message_10_Page_0 ... <pause> 给我离开这里。 <pause> 现在。

//Hostile Response Set 0
Message_11_Page_0 这里不欢迎你。
Message_12_Page_0 我也许该用枪好好"戳"下你那勇气可嘉的表情。
Message_13_Page_0 如果我是你的话就会马上离开这里。
//Hostile Response Set 1
Message_14_Page_0 你这是在考验我的耐心吗？
Message_15_Page_0 我感觉我扣板机的手在发痒，哦，天哪，我想要扣动它吗。
Message_16_Page_0 在我改变想法前马上离开这里。
//Hostile Response Set 2
Message_17_Page_0 不要试探我，我会毫不后悔地把你干掉的。
Message_18_Page_0 我感觉我扣板机的手在发痒，哦，天哪，我想要扣动它吗。
Message_19_Page_0 我这里有一颗属于你的子弹。

//Friendly Response Set 0
Message_20_Page_0 很高兴看到你活着回来了。
Message_21_Page_0 欢迎回来，士兵。
Message_22_Page_0 没人跟着你，对吗？
//Friendly Response Set 1
Message_23_Page_0 是要进去还是要待在外面？
Message_24_Page_0 <pause>你确定吗？
Message_25_Page_0 你还在这儿干什么？
//Friendly Response Set 2
Message_26_Page_0 如果你喜欢这里，那么我们就可以交换下位置。
Message_27_Page_0 我要集中注意力，待会再找你。
Message_28_Page_0 对不起，这里不能聊天。

Response_0 这里是什么地方？
Response_1 我完成了我的任务。
Response_2 别开枪，我只是在探索！
Response_3 你好。
Response_4 再见...
Response_5 我马上就走。
Response_6 我从未来过这里。
Response_7 我会马上离开！
Response_8 你好！
Response_9 哦,嗯…
Response_10 回头见！
