Message_0_Page_0 你超出界限了，士兵！
//Default Saying
Message_1_Page_0 …先生，我们必须尽快采取行动…
//Saying #1 - Coalition
Message_2_Page_0 …这些所谓的“联盟”的力量能让我们强大起来，但它们真的是他们宣称的那样强大吗？…
//Saying #2 - Coalition
Message_3_Page_0 …我们能不能给他们一个机会呢？如果他们愿意，他们可以很容易地入侵并夺取我们的土地…
//Saying #3 - Forces
Message_4_Page_0 …我们不能再失去任何的兄弟了！特别是在最近损失了<color=legendary>Tennyson</color>的小队之后…
//Saying #4 - 抵抗军
Message_5_Page_0 …我尊重你，总统先生，但我不会眼睁睁地看着那群懦夫杀害我的士兵！…
//Saying #5 - 抵抗军
Message_6_Page_0 …当然，当然。我们可以更多地试试你的外交政策，但不能以牺牲我的人为代价，没有人会想在徒劳地尝试让<color=uncommon>抵抗军</color>放下他们的武器中丧生…
//Saying #6 - Forces
Message_7_Page_0 …我们的部队分散了，并与其他掩体失去了联系，我们没有前线了！你想让我怎么做？！
//Saying #7 - History
Message_8_Page_0 …封锁从来没有起过作用，从一开始就是注定要失败的计划…
//Saying #8 - Forces
Message_9_Page_0 …是的，但是我们再也没有同样的武器了！我们甚至连直升机都没有，更不用说空军了…
//Saying #9 - 抵抗军
Message_10_Page_0 …你看到他们最近的车队了吗，看起来他们在准备战争，所以我们也应该这样…
//Saying #10 - Coalition
Message_11_Page_0 …是的，我们会继续收集这些空投，但我不想在我们知道他们是谁，为什么他们突然出现之前让他们的脚踏在我们的土地上！
//Saying #11 - History
Message_12_Page_0 …别跟我作对，我们都知道使用Thánato导弹是正当的！如果我们不这么做，那么就没人能处理这么大规模的尸潮了…
//Saying #12 - History
Message_13_Page_0 …我不认为在我们没有足够的兵力的时候去争取更多的地盘有什么好处。这个地堡很容易防御，我们应该呆在下面…

Response_0 这真是个有趣的状况…
Response_1 <i> * 悄然离开 * </i>
Response_2 对不起…
