Name 疾病页面 #4

Interactability_Text_Line_0 现代疾病
Interactability_Text_Line_1 第142页
Interactability_Text_Line_2 -----
Interactability_Text_Line_3 西尼罗病毒
Interactability_Text_Line_4 -----
Interactability_Text_Line_5 一般症状： 
Interactability_Text_Line_6 •大多数情况下没有任何症状。
Interactability_Text_Line_7
Interactability_Text_Line_8 重度症状：
Interactability_Text_Line_9 •发烧
Interactability_Text_Line_10 •头痛
Interactability_Text_Line_11 •肌无力
Interactability_Text_Line_12 •昏迷
Interactability_Text_Line_13 •抽搐
Interactability_Text_Line_14 •战栗
Interactability_Text_Line_15 •颈强直
Interactability_Text_Line_16 •视力衰退
