Name 希腊报纸 #4

Interactability_Text_Line_0 为了阻止感染蔓延而建立的伊庇鲁斯——色雷斯封锁
Interactability_Text_Line_1 ---
Interactability_Text_Line_2 9月12日，星期二
Interactability_Text_Line_3 ---
Interactability_Text_Line_4 由于流行病的蔓延，欧洲的主要国家开始陷入无政府状态。针对这些事件，在上周日，总统Estevao宣布开始建立伊庇鲁斯——色雷斯封锁。
Interactability_Text_Line_5 伊庇鲁斯——色雷斯封锁的范围目前为从伊庇鲁斯地区到东马其顿和色雷斯的所有交通道。由海陆空三军对其进行加固，据说这能彻底地抵御感染和它所带来的“僵尸”潮，正如上将keandre说的那样，
Interactability_Text_Line_6 "通过封锁我们可以阻断两地的往来，任何试图突破它的人都会被视为敌对势力看待。"
Interactability_Text_Line_7 随着伊庇鲁斯——色雷斯封锁的建立, 他们在每个地区的边界地带都设立了检查点。当问及他们关于检查点的事情时，上将Keandre表示：
Interactability_Text_Line_8 "如果[僵尸群]不幸地突破了伊庇鲁斯——色雷斯封锁，已设立的[检查点]可以为希腊公民提供庇护。"
Interactability_Text_Line_9 尽管如此，但许多历史学家和策略学家都表示怀疑：“如此费力的隔离墙会使我们的力量变得单薄，这会使得我们无法应对如此巨大的威胁。”
