Message_0_Page_0 我为你挑选了一个要侦察的地方，你有兴趣去看看它吗？
Message_1_Page_0 我还有另外一个地方可以去侦察，但它离我有点远。感兴趣吗？
Message_2_Page_0 如果你感兴趣的话，你可以帮助我去另一个地方侦察。
Message_3_Page_0 这可能是个关键位置，但根据一份旧报告，人们曾经看到过一个相当大的僵尸。你感兴趣吗？
Message_4_Page_0 我想是时候去看看Holokai Harbor了。我觉得这个港口比我们的眼睛还要多！
Message_5_Page_0 你什么要报告的吗？

Response_0 我会去看看
Response_1 不是现在
Response_2 我侦察了Aouli Harbor！
Response_3 我会去看看
Response_4 不是现在
Response_5 我侦察了Hilo！
Response_6 我会去看看
Response_7 不是现在
Response_8 我侦察了Alika Base！
Response_9 我会去看看
Response_10 不是现在
Response_11 我侦察了Waikoloa！
Response_12 我会去看看
Response_13 不是现在
Response_14 我侦察了Holokai Harbor！
Response_15 你现在在干什么？
Response_16 没有
